시작시각(년월일시분),세션,지속시간,프로젝트
2024-05-10 15:55,휴식,5,취업 준비
2024-05-10 17:39,집중,25,코드 리팩토링
2024-05-10 18:39,휴식,5,코드 리팩토링
2024-05-10 19:38,집중,30,영어 공부
2024-05-11 07:00,집중,30,리액트 프로젝트
2024-05-11 07:30,휴식,5,리액트 프로젝트
2024-05-11 09:56,집중,15,리액트 프로젝트
2024-05-11 10:11,휴식,5,리액트 프로젝트
2024-05-11 10:29,집중,25,코드 리팩토링
2024-05-11 10:43,집중,25,취업 준비
2024-05-11 11:09,집중,25,취업 준비
2024-05-11 12:09,휴식,5,취업 준비
2024-05-11 14:15,집중,30,자바스크립트 공부
2024-05-11 14:45,휴식,5,자바스크립트 공부
2024-05-11 15:42,집중,15,취업 준비
2024-05-11 15:57,휴식,5,취업 준비
2024-05-11 16:36,집중,45,영어 공부
2024-05-12 07:15,집중,25,리액트 프로젝트
2024-05-12 08:15,휴식,5,리액트 프로젝트
2024-05-12 10:23,집중,25,영어 공부
2024-05-12 10:48,휴식,5,영어 공부
2024-05-12 11:28,집중,25,알고리즘 연습
2024-05-12 12:28,휴식,5,알고리즘 연습
2024-05-12 16:03,집중,25,영어 공부
2024-05-12 16:56,집중,15,리액트 프로젝트
2024-05-12 17:11,휴식,5,리액트 프로젝트
2024-05-12 18:35,집중,15,자바스크립트 공부
2024-05-13 09:30,집중,15,알고리즘 연습
2024-05-13 09:45,휴식,5,알고리즘 연습
2024-05-13 10:00,집중,45,코드 리팩토링
2024-05-13 10:19,집중,45,자바스크립트 공부
2024-05-13 10:31,집중,25,영어 공부
2024-05-13 10:33,집중,25,리액트 프로젝트
2024-05-13 11:36,집중,45,영어 공부
2024-05-13 11:54,집중,25,취업 준비
2024-05-13 12:19,휴식,5,취업 준비
2024-05-13 13:55,집중,45,코드 리팩토링
2024-05-13 14:40,긴휴식,15,코드 리팩토링
2024-05-13 16:10,집중,25,디자인 작업
2024-05-13 16:35,휴식,5,디자인 작업
2024-05-13 17:42,집중,45,코드 리팩토링
2024-05-13 18:25,집중,15,디자인 작업
2024-05-13 18:40,집중,45,블로그 글쓰기
2024-05-13 19:25,긴휴식,15,블로그 글쓰기
2024-05-13 19:57,집중,30,알고리즘 연습
2024-05-13 20:27,휴식,5,알고리즘 연습
2024-05-13 21:12,집중,45,코드 리팩토링
2024-05-14 06:52,집중,25,코드 리팩토링
2024-05-14 07:17,휴식,5,코드 리팩토링
2024-05-14 07:25,집중,45,자바스크립트 공부
2024-05-14 07:30,집중,30,자바스크립트 공부
2024-05-14 08:00,휴식,5,자바스크립트 공부
2024-05-14 09:19,집중,15,영어 공부
2024-05-14 09:34,긴휴식,15,영어 공부
2024-05-14 10:30,집중,30,블로그 글쓰기
2024-05-14 10:45,집중,30,알고리즘 연습
2024-05-14 11:06,집중,25,영어 공부
2024-05-14 11:31,휴식,5,영어 공부
2024-05-14 14:10,집중,25,영어 공부
2024-05-14 15:10,긴휴식,15,영어 공부
2024-05-14 15:31,집중,25,취업 준비
2024-05-14 16:03,집중,45,영어 공부
2024-05-14 16:12,집중,45,디자인 작업
2024-05-14 16:57,휴식,5,디자인 작업
2024-05-14 18:09,집중,25,취업 준비
2024-05-14 18:37,집중,25,알고리즘 연습
2024-05-14 19:22,집중,25,영어 공부
2024-05-14 19:47,휴식,5,영어 공부
2024-05-14 21:42,집중,25,취업 준비
2024-05-15 06:48,집중,30,코드 리팩토링
2024-05-15 07:18,휴식,5,코드 리팩토링
2024-05-15 07:34,집중,30,취업 준비
2024-05-15 08:04,휴식,5,취업 준비
2024-05-15 09:56,집중,30,코드 리팩토링
2024-05-15 10:17,집중,25,블로그 글쓰기
2024-05-15 10:41,집중,15,리액트 프로젝트
2024-05-15 10:56,휴식,5,리액트 프로젝트
2024-05-15 12:32,집중,30,디자인 작업
2024-05-15 13:02,휴식,5,디자인 작업
2024-05-15 14:21,집중,25,알고리즘 연습
2024-05-15 14:57,집중,25,디자인 작업
2024-05-15 15:09,집중,30,자바스크립트 공부
2024-05-15 15:39,휴식,5,자바스크립트 공부
2024-05-15 16:26,집중,45,포트폴리오 작업
2024-05-15 17:11,휴식,5,포트폴리오 작업
2024-05-15 17:30,집중,15,영어 공부
2024-05-15 17:45,휴식,5,영어 공부
2024-05-15 17:52,집중,25,자바스크립트 공부
2024-05-15 18:30,집중,15,취업 준비
2024-05-15 18:45,휴식,5,취업 준비
2024-05-15 19:31,집중,15,자바스크립트 공부
2024-05-15 19:46,휴식,5,자바스크립트 공부
2024-05-15 20:45,집중,25,영어 공부
2024-05-16 04:28,집중,15,취업 준비
2024-05-16 04:43,휴식,5,취업 준비
2024-05-16 09:23,집중,30,영어 공부
2024-05-16 09:24,집중,30,리액트 프로젝트
2024-05-16 09:34,집중,15,영어 공부
2024-05-16 09:49,긴휴식,15,영어 공부
2024-05-16 10:34,집중,45,취업 준비
2024-05-16 11:12,집중,30,리액트 프로젝트
2024-05-16 11:42,휴식,5,리액트 프로젝트
2024-05-16 11:57,집중,25,자바스크립트 공부
2024-05-16 12:01,집중,25,취업 준비
2024-05-16 12:12,집중,25,영어 공부
2024-05-16 12:28,집중,25,알고리즘 연습
2024-05-16 12:53,휴식,5,알고리즘 연습
2024-05-16 15:41,집중,25,자바스크립트 공부
2024-05-16 15:46,집중,30,리액트 프로젝트
2024-05-16 15:56,집중,45,포트폴리오 작업
2024-05-16 16:41,휴식,5,포트폴리오 작업
2024-05-16 18:33,집중,25,디자인 작업
2024-05-16 19:33,휴식,5,디자인 작업
2024-05-16 20:15,집중,25,디자인 작업
2024-05-17 06:17,집중,30,포트폴리오 작업
2024-05-17 06:47,휴식,5,포트폴리오 작업
2024-05-17 09:21,집중,15,영어 공부
2024-05-17 09:23,집중,25,취업 준비
2024-05-17 09:44,집중,25,영어 공부
2024-05-17 09:48,집중,25,자바스크립트 공부
2024-05-17 10:47,집중,30,취업 준비
2024-05-17 11:17,휴식,5,취업 준비
2024-05-17 11:37,집중,45,블로그 글쓰기
2024-05-17 12:22,휴식,5,블로그 글쓰기
2024-05-17 17:37,집중,30,코드 리팩토링
2024-05-17 18:07,긴휴식,15,코드 리팩토링
2024-05-17 18:31,집중,25,리액트 프로젝트
2024-05-17 18:48,집중,25,리액트 프로젝트
2024-05-17 19:13,휴식,5,리액트 프로젝트
2024-05-17 19:47,집중,45,코드 리팩토링
2024-05-17 20:32,휴식,5,코드 리팩토링
2024-05-17 21:04,집중,25,리액트 프로젝트
2024-05-18 06:11,집중,25,취업 준비
2024-05-18 07:11,휴식,5,취업 준비
2024-05-18 10:48,집중,25,영어 공부
2024-05-18 11:13,휴식,5,영어 공부
2024-05-18 11:35,집중,25,자바스크립트 공부
2024-05-18 12:00,휴식,5,자바스크립트 공부
2024-05-18 15:08,집중,25,영어 공부
2024-05-18 15:21,집중,45,영어 공부
2024-05-18 15:54,집중,25,디자인 작업
2024-05-18 16:54,휴식,5,디자인 작업
2024-05-18 20:19,집중,25,포트폴리오 작업
2024-05-18 21:19,휴식,5,포트폴리오 작업
2024-05-18 21:35,집중,25,포트폴리오 작업
2024-05-19 08:07,집중,25,자바스크립트 공부
2024-05-19 08:32,집중,30,블로그 글쓰기
2024-05-19 09:02,휴식,5,블로그 글쓰기
2024-05-19 10:59,집중,45,리액트 프로젝트
2024-05-19 11:17,집중,15,코드 리팩토링
2024-05-19 11:32,긴휴식,15,코드 리팩토링
2024-05-19 12:26,집중,45,코드 리팩토링
2024-05-19 13:11,휴식,5,코드 리팩토링
2024-05-19 21:55,집중,45,알고리즘 연습
2024-05-20 09:20,집중,30,코드 리팩토링
2024-05-20 09:27,집중,45,디자인 작업
2024-05-20 10:04,집중,45,취업 준비
2024-05-20 10:04,집중,30,취업 준비
2024-05-20 10:16,집중,25,코드 리팩토링
2024-05-20 10:31,집중,30,자바스크립트 공부
2024-05-20 11:01,휴식,5,자바스크립트 공부
2024-05-20 11:44,집중,45,포트폴리오 작업
2024-05-20 12:29,휴식,5,포트폴리오 작업
2024-05-20 12:36,집중,25,알고리즘 연습
2024-05-20 13:32,집중,30,리액트 프로젝트
2024-05-20 14:02,휴식,5,리액트 프로젝트
2024-05-20 14:19,집중,30,리액트 프로젝트
2024-05-20 14:49,휴식,5,리액트 프로젝트
2024-05-20 16:18,집중,45,알고리즘 연습
2024-05-20 17:03,휴식,5,알고리즘 연습
2024-05-20 19:45,집중,15,취업 준비
2024-05-20 20:00,긴휴식,15,취업 준비
2024-05-20 21:43,집중,30,영어 공부
2024-05-20 22:13,휴식,5,영어 공부
2024-05-20 22:54,집중,25,리액트 프로젝트
2024-05-21 03:10,집중,25,코드 리팩토링
2024-05-21 03:35,휴식,5,코드 리팩토링
2024-05-21 07:38,집중,45,영어 공부
2024-05-21 08:23,휴식,5,영어 공부
2024-05-21 08:58,집중,45,디자인 작업
2024-05-21 09:43,휴식,5,디자인 작업
2024-05-21 10:14,집중,45,알고리즘 연습
2024-05-21 10:48,집중,25,디자인 작업
2024-05-21 10:50,집중,25,영어 공부
2024-05-21 11:16,집중,15,리액트 프로젝트
2024-05-21 11:31,휴식,5,리액트 프로젝트
2024-05-21 11:49,집중,15,취업 준비
2024-05-21 12:01,집중,30,리액트 프로젝트
2024-05-21 12:17,집중,30,자바스크립트 공부
2024-05-21 12:47,휴식,5,자바스크립트 공부
2024-05-21 15:00,집중,25,리액트 프로젝트
2024-05-21 15:10,집중,25,취업 준비
2024-05-21 15:35,긴휴식,15,취업 준비
2024-05-21 17:24,집중,45,코드 리팩토링
2024-05-21 18:09,휴식,5,코드 리팩토링
2024-05-21 18:57,집중,25,자바스크립트 공부
2024-05-21 19:57,휴식,5,자바스크립트 공부
2024-05-21 22:03,집중,30,자바스크립트 공부
2024-05-22 04:13,집중,15,알고리즘 연습
2024-05-22 04:28,휴식,5,알고리즘 연습
2024-05-22 07:14,집중,30,포트폴리오 작업
2024-05-22 07:24,집중,25,블로그 글쓰기
2024-05-22 07:49,휴식,5,블로그 글쓰기
2024-05-22 09:49,집중,25,코드 리팩토링
2024-05-22 10:04,집중,45,취업 준비
2024-05-22 10:49,휴식,5,취업 준비
2024-05-22 11:47,집중,15,자바스크립트 공부
2024-05-22 11:58,집중,45,디자인 작업
2024-05-22 12:43,휴식,5,디자인 작업
2024-05-22 13:49,집중,15,영어 공부
2024-05-22 14:04,긴휴식,15,영어 공부
2024-05-22 14:38,집중,30,알고리즘 연습
2024-05-22 15:08,휴식,5,알고리즘 연습
2024-05-22 15:44,집중,30,포트폴리오 작업
2024-05-22 16:14,휴식,5,포트폴리오 작업
2024-05-22 16:44,집중,45,취업 준비
2024-05-22 17:29,휴식,5,취업 준비
2024-05-22 18:15,집중,25,취업 준비
2024-05-22 18:40,긴휴식,15,취업 준비
2024-05-22 19:47,집중,25,리액트 프로젝트
2024-05-22 19:49,집중,25,코드 리팩토링
2024-05-22 20:52,집중,25,리액트 프로젝트
2024-05-23 04:56,집중,45,알고리즘 연습
2024-05-23 05:41,휴식,5,알고리즘 연습
2024-05-23 08:21,집중,25,영어 공부
2024-05-23 08:54,집중,25,취업 준비
2024-05-23 09:17,집중,25,디자인 작업
2024-05-23 09:42,긴휴식,15,디자인 작업
2024-05-23 10:26,집중,45,코드 리팩토링
2024-05-23 10:34,집중,30,자바스크립트 공부
2024-05-23 10:51,집중,45,코드 리팩토링
2024-05-23 11:16,집중,15,알고리즘 연습
2024-05-23 11:31,긴휴식,15,알고리즘 연습
2024-05-23 14:11,집중,25,취업 준비
2024-05-23 14:23,집중,30,리액트 프로젝트
2024-05-23 14:53,휴식,5,리액트 프로젝트
2024-05-23 15:01,집중,30,디자인 작업
2024-05-23 15:31,휴식,5,디자인 작업
2024-05-23 16:40,집중,25,알고리즘 연습
2024-05-23 16:52,집중,45,자바스크립트 공부
2024-05-23 16:59,집중,25,취업 준비
2024-05-23 17:03,집중,30,코드 리팩토링
2024-05-24 06:18,집중,25,영어 공부
2024-05-24 06:43,휴식,5,영어 공부
2024-05-24 10:12,집중,25,블로그 글쓰기
2024-05-24 11:12,집중,15,리액트 프로젝트
2024-05-24 11:27,휴식,5,리액트 프로젝트
2024-05-24 12:14,집중,25,코드 리팩토링
2024-05-24 12:34,집중,30,자바스크립트 공부
2024-05-24 13:04,휴식,5,자바스크립트 공부
2024-05-24 14:13,집중,45,자바스크립트 공부
2024-05-24 14:58,휴식,5,자바스크립트 공부
2024-05-24 15:36,집중,25,블로그 글쓰기
2024-05-24 15:44,집중,25,포트폴리오 작업
2024-05-24 16:03,집중,15,블로그 글쓰기
2024-05-24 16:18,휴식,5,블로그 글쓰기
2024-05-24 19:24,집중,45,알고리즘 연습
2024-05-24 19:32,집중,25,블로그 글쓰기
2024-05-24 19:55,집중,25,디자인 작업
2024-05-25 03:21,집중,30,디자인 작업
2024-05-25 03:51,휴식,5,디자인 작업
2024-05-25 08:06,집중,45,블로그 글쓰기
2024-05-25 08:51,휴식,5,블로그 글쓰기
2024-05-25 09:09,집중,15,자바스크립트 공부
2024-05-25 09:24,휴식,5,자바스크립트 공부
2024-05-25 09:39,집중,15,블로그 글쓰기
2024-05-25 09:54,긴휴식,15,블로그 글쓰기
2024-05-25 15:20,집중,45,취업 준비
2024-05-25 15:58,집중,15,디자인 작업
2024-05-25 16:13,휴식,5,디자인 작업
2024-05-25 17:43,집중,25,영어 공부
2024-05-25 18:08,휴식,5,영어 공부
2024-05-25 23:10,집중,45,알고리즘 연습
2024-05-26 07:03,집중,45,코드 리팩토링
2024-05-26 07:16,집중,25,포트폴리오 작업
2024-05-26 08:16,휴식,5,포트폴리오 작업
2024-05-26 09:48,집중,15,코드 리팩토링
2024-05-26 10:03,휴식,5,코드 리팩토링
2024-05-26 11:36,집중,45,디자인 작업
2024-05-26 12:21,긴휴식,15,디자인 작업
2024-05-26 14:07,집중,45,영어 공부
2024-05-26 14:52,휴식,5,영어 공부
2024-05-26 15:34,집중,25,영어 공부
2024-05-27 06:31,집중,25,리액트 프로젝트
2024-05-27 06:56,휴식,5,리액트 프로젝트
2024-05-27 07:21,집중,45,블로그 글쓰기
2024-05-27 08:06,휴식,5,블로그 글쓰기
2024-05-27 08:13,집중,25,영어 공부
2024-05-27 08:38,휴식,5,영어 공부
2024-05-27 09:35,집중,25,디자인 작업
2024-05-27 10:00,긴휴식,15,디자인 작업
2024-05-27 10:32,집중,25,자바스크립트 공부
2024-05-27 10:59,집중,45,디자인 작업
2024-05-27 11:44,휴식,5,디자인 작업
2024-05-27 13:45,집중,25,포트폴리오 작업
2024-05-27 14:45,휴식,5,포트폴리오 작업
2024-05-27 15:30,집중,25,자바스크립트 공부
2024-05-27 15:55,긴휴식,15,자바스크립트 공부
2024-05-27 16:23,집중,45,코드 리팩토링
2024-05-27 16:40,집중,15,디자인 작업
2024-05-27 16:55,휴식,5,디자인 작업
2024-05-27 17:54,집중,25,리액트 프로젝트
2024-05-27 18:54,휴식,5,리액트 프로젝트
2024-05-27 19:27,집중,30,취업 준비
2024-05-27 19:47,집중,45,영어 공부
2024-05-27 20:32,휴식,5,영어 공부
2024-05-27 21:05,집중,30,알고리즘 연습
2024-05-28 01:14,집중,45,취업 준비
2024-05-28 01:59,휴식,5,취업 준비
2024-05-28 09:33,집중,25,영어 공부
2024-05-28 09:58,휴식,5,영어 공부
2024-05-28 10:09,집중,25,코드 리팩토링
2024-05-28 10:22,집중,15,취업 준비
2024-05-28 10:37,긴휴식,15,취업 준비
2024-05-28 10:56,집중,30,코드 리팩토링
2024-05-28 11:26,휴식,5,코드 리팩토링
2024-05-28 11:51,집중,30,자바스크립트 공부
2024-05-28 12:21,휴식,5,자바스크립트 공부
2024-05-28 13:17,집중,45,자바스크립트 공부
2024-05-28 13:39,집중,30,취업 준비
2024-05-28 14:10,집중,25,취업 준비
2024-05-28 14:22,집중,15,영어 공부
2024-05-28 14:25,집중,30,영어 공부
2024-05-28 14:55,휴식,5,영어 공부
2024-05-28 16:23,집중,25,블로그 글쓰기
2024-05-28 16:30,집중,25,디자인 작업
2024-05-28 17:30,휴식,5,디자인 작업
2024-05-28 18:44,집중,25,포트폴리오 작업
2024-05-28 19:45,집중,25,블로그 글쓰기
2024-05-29 06:21,집중,15,취업 준비
2024-05-29 06:36,휴식,5,취업 준비
2024-05-29 07:32,집중,15,블로그 글쓰기
2024-05-29 07:47,휴식,5,블로그 글쓰기
2024-05-29 10:47,집중,15,취업 준비
2024-05-29 11:05,집중,25,코드 리팩토링
2024-05-29 11:30,긴휴식,15,코드 리팩토링
2024-05-29 12:15,집중,30,취업 준비
2024-05-29 12:45,휴식,5,취업 준비
2024-05-29 15:05,집중,45,취업 준비
2024-05-29 15:12,집중,45,영어 공부
2024-05-29 15:28,집중,25,알고리즘 연습
2024-05-29 15:53,긴휴식,15,알고리즘 연습
2024-05-29 16:50,집중,45,코드 리팩토링
2024-05-29 16:53,집중,15,리액트 프로젝트
2024-05-29 17:08,휴식,5,리액트 프로젝트
2024-05-29 17:40,집중,25,포트폴리오 작업
2024-05-29 17:58,집중,30,알고리즘 연습
2024-05-29 18:28,긴휴식,15,알고리즘 연습
2024-05-29 19:30,집중,45,리액트 프로젝트
2024-05-29 20:15,휴식,5,리액트 프로젝트
2024-05-29 20:59,집중,25,알고리즘 연습
2024-05-29 21:24,휴식,5,알고리즘 연습
2024-05-29 21:40,집중,25,블로그 글쓰기
2024-05-30 08:21,집중,45,포트폴리오 작업
2024-05-30 08:52,집중,25,코드 리팩토링
2024-05-30 09:52,휴식,5,코드 리팩토링
2024-05-30 10:23,집중,25,블로그 글쓰기
2024-05-30 10:34,집중,30,디자인 작업
2024-05-30 11:04,긴휴식,15,디자인 작업
2024-05-30 11:33,집중,45,디자인 작업
2024-05-30 12:18,휴식,5,디자인 작업
2024-05-30 12:34,집중,25,자바스크립트 공부
2024-05-30 13:34,휴식,5,자바스크립트 공부
2024-05-30 14:00,집중,25,자바스크립트 공부
2024-05-30 14:07,집중,25,블로그 글쓰기
2024-05-30 15:07,긴휴식,15,블로그 글쓰기
2024-05-30 16:01,집중,30,포트폴리오 작업
2024-05-30 16:31,휴식,5,포트폴리오 작업
2024-05-30 17:00,집중,25,블로그 글쓰기
2024-05-30 17:06,집중,25,디자인 작업
2024-05-30 18:06,휴식,5,디자인 작업
2024-05-30 18:46,집중,45,영어 공부
2024-05-30 19:40,집중,30,알고리즘 연습
2024-05-30 19:59,집중,15,리액트 프로젝트
2024-05-30 20:14,휴식,5,리액트 프로젝트
